Word,Onset,Offset,Probability,item_num
WE,566,891,0.883,
HAVE,906,992,0.225,
MAYONNAISE,1207,1813,0.7010000000000001,199
CREAM,2489,3054,0.8250000000000001,87
ROLL,3850,4456,0.9490000000000001,273
PEPPERONI,5192,5878,0.929,245
SOME,6233,6419,0.352,
OF,6434,6479,0.37,
THE,6514,6639,0.837,
FOOD,6734,7120,0.957,
WEVE,8657,8842,0.975,
GOT,8877,9182,0.885,
A,9197,9222,0.999,
WATCH,10038,10564,0.998,363
CDS,11961,12547,0.9400000000000001,56
CAJUN,19331,20017,0.682,
I,20052,20117,0.991,
THINK,20172,20397,0.851,
ACTUALLY,20512,20918,0.9,
ASPIRIN,22455,28688,0.761,11
ASPIRIN,31346,32953,0.7080000000000001,11
POSTERS,49065,49631,0.903,255
RIBBON,50087,50432,1.0,270
HAMPER,50467,57780,0.9560000000000001,155
UMMM,68876,69931,0.271,
